Marca;Segmento;Modelo
JAGUAR;Deportivo alto;XK
JEEP;TTE Compacto;CHEROKEE
JEEP;TTE Compacto;COMPASS
JEEP;TTE Superior;GRAND CHEROKEE
JEEP;TTE Compacto;PATRIOT
JEEP;TTE Pequeño;RENEGADE
JEEP;TTE Pequeño;WRANGLER
K.T.M.;Deportivo alto;X-BOW
KIA;Monovolumen compacto;CARENS
KIA;Compacto;CEED
KIA;TTE Compacto;NIRO
KIA;Familiar;OPTIMA
KIA;Superutilitario;PICANTO
KIA;Utilitario/Polivalente;RIO
KIA;TTE Familiar;SORENTO
KIA;TTE Pequeño;SOUL
KIA;TTE Compacto;SPORTAGE
KIA;Monovolumen polivalente;VENGA
LAMBORGHINI;Deportivo alto;AVENTADOR
LAMBORGHINI;Deportivo alto;GALLARDO
LAMBORGHINI;Deportivo alto;HURACAN
LANCIA;Utilitario/Polivalente;Y
LAND ROVER;TTE Pequeño;DEFENDER
LAND ROVER;TTE Superior;DISCOVERY
LAND ROVER;TTE Familiar;DISCOVERY SPORT
LAND ROVER;TTE Compacto;FREELANDER
LAND ROVER;TTE Superior;RANGE ROVER
LAND ROVER;TTE Compacto;RANGE ROVER EVOQUE
LAND ROVER;TTE Superior;RANGE ROVER SPORT
LEXUS;Compacto;CT
LEXUS;Gran lujo;GS
LEXUS;Familiar;IS
LEXUS;Gran lujo;LS
LEXUS;TTE Familiar;NX
LEXUS;Deportivo alto;RC
LEXUS;TTE Superior;RX
LINCOLN;Gran lujo;CONTINENTAL
LOTUS;Deportivo bajo;ELISE
LOTUS;Deportivo alto;EVORA
LOTUS;Deportivo bajo;EXIGE
MAHINDRA;TTE Pequeño;QUANTO
MAHINDRA;TTE Familiar;XUV 500
MASERATI;Berlina;GHIBLI
MASERATI;Deportivo alto;GRAN CABRIO
MASERATI;Deportivo alto;GRAN TURISMO
MASERATI;TTE Superior;LEVANTE
MASERATI;Gran lujo;QUATTROPORTE
MAZDA;Utilitario/Polivalente;2
MAZDA;Compacto;3
MAZDA;Monovolumen familiar;5
MAZDA;Familiar;6
MAZDA;TTE Compacto;CX-3
MAZDA;TTE Compacto;CX-5
MAZDA;TTE Familiar;CX-7
MAZDA;TTE Superior;CX-9
MAZDA;Deportivo bajo;MX-5
MCLAREN;Deportivo alto;650 S
MCLAREN;Deportivo alto;MP4-12C
MERCEDES;Deportivo alto;AMG-GT
MERCEDES;Compacto;CLASE A
MERCEDES;Monovolumen compacto;CLASE B
MERCEDES;Deportivo bajo;CLASE C
MERCEDES;Familiar;CLASE C
MERCEDES;Deportivo alto;CLASE CL
MERCEDES;Familiar;CLASE CLA
MERCEDES;Berlina;CLASE CLS
MERCEDES;Berlina;CLASE E
MERCEDES;Deportivo alto;CLASE E
MERCEDES;TTE Superior;CLASE G
MERCEDES;TTE Superior;CLASE GL
MERCEDES;TTE Compacto;CLASE GLA
MERCEDES;TTE Compacto;CLASE GLC
MERCEDES;TTE Superior;CLASE GLE
MERCEDES;TTE Compacto;CLASE GLK
MERCEDES;TTE Superior;CLASE GLS
MERCEDES;TTE Superior;CLASE M
MERCEDES;Monovolumen familiar;CLASE R
MERCEDES;Deportivo alto;CLASE S
MERCEDES;Gran lujo;CLASE S
MERCEDES;Deportivo alto;CLASE SL
MERCEDES;Deportivo bajo;CLASE SLC
MERCEDES;Deportivo bajo;CLASE SLK
MERCEDES;Deportivo alto;CLASE SLS
MERCEDES;Monovolumen familiar;CLASE V
MERCEDES;Monovolumen familiar;VIANO
MINI;Deportivo bajo;MINI
MINI;TTE Pequeño;MINI
MINI;Utilitario/Polivalente;MINI
MITSUBISHI;TTE Compacto;ASX
MITSUBISHI;Superutilitario;iMIEV
MITSUBISHI;Familiar;LANCER
MITSUBISHI;TTE Superior;MONTERO
MITSUBISHI;TTE Familiar;OUTLANDER
MITSUBISHI;Superutilitario;SPACE STAR
MORGAN;Deportivo alto;MORGAN
NISSAN;Deportivo bajo;370 Z
NISSAN;Berlina;ALTIMA
NISSAN;Utilitario/Polivalente;CUBE
NISSAN;Deportivo alto;GT-R
NISSAN;TTE Pequeño;JUKE
NISSAN;Compacto;LEAF
NISSAN;Utilitario/Polivalente;MICRA
NISSAN;TTE Familiar;MURANO
NISSAN;TTE Superior;MURANO II
NISSAN;Monovolumen polivalente;NOTE
NISSAN;Compacto;PULSAR
NISSAN;TTE Compacto;QASHQAI
NISSAN;TTE Compacto;QASHQAI+2
NISSAN;TTE Familiar;X-TRAIL
OLDSMOBILE;Gran lujo;OLDSMOBILE
OPEL;Superutilitario;ADAM
OPEL;Monovolumen polivalente;AGILA
OPEL;TTE Familiar;ANTARA
OPEL;Compacto;ASTRA
OPEL;Deportivo bajo;CABRIO
OPEL;Utilitario/Polivalente;CORSA
OPEL;Familiar;INSIGNIA
OPEL;Superutilitario;KARL
OPEL;Monovolumen compacto;MERIVA
OPEL;TTE Compacto;MOKKA
OPEL;Monovolumen compacto;ZAFIRA
OPEL;Monovolumen compacto;ZAFIRA TOURER
PEUGEOT;Superutilitario;107
PEUGEOT;Superutilitario;108
PEUGEOT;TTE Pequeño;2008
PEUGEOT;Utilitario/Polivalente;206
PEUGEOT;Utilitario/Polivalente;207
PEUGEOT;Utilitario/Polivalente;208
PEUGEOT;Monovolumen compacto;3008
PEUGEOT;TTE Compacto;3008
PEUGEOT;Compacto;308
PEUGEOT;TTE Compacto;4008
PEUGEOT;Familiar;407
PEUGEOT;Monovolumen compacto;5008
PEUGEOT;Familiar;508
PEUGEOT;Berlina;607
PEUGEOT;Monovolumen familiar;807
PEUGEOT;Superutilitario;iOn
PEUGEOT;Deportivo bajo;RCZ
PONTIAC;Berlina;PONTIAC
PORSCHE;Deportivo alto;718
PORSCHE;Deportivo alto;911
PORSCHE;Deportivo alto;918
PORSCHE;Deportivo alto;BOXSTER
PORSCHE;TTE Superior;CAYENNE
PORSCHE;Deportivo alto;CAYMAN
PORSCHE;TTE Familiar;MACAN
PORSCHE;Gran lujo;PANAMERA
RENAULT;TTE Pequeño;CAPTUR
RENAULT;Utilitario/Polivalente;CLIO
RENAULT;Monovolumen familiar;ESPACE
RENAULT;Compacto;FLUENCE
RENAULT;TTE Compacto;KADJAR
RENAULT;Deportivo bajo;LAGUNA
RENAULT;Familiar;LAGUNA
RENAULT;Compacto;MEGANE
RENAULT;Monovolumen compacto;MEGANE
RENAULT;Monovolumen polivalente;MODUS
RENAULT;Familiar;TALISMAN
RENAULT;Superutilitario;TWINGO
RENAULT;Utilitario/Polivalente;ZOE
ROLLS ROYCE;Gran lujo;GHOST
SEAT;Monovolumen familiar;ALHAMBRA
SEAT;Monovolumen compacto;ALTEA
SEAT;TTE Compacto;ATECA
SEAT;Familiar;EXEO
SEAT;Utilitario/Polivalente;IBIZA
SEAT;Compacto;LEON
SEAT;Superutilitario;Mii
SEAT;Compacto;TOLEDO
SKODA;Superutilitario;CITIGO
SKODA;Utilitario/Polivalente;FABIA
SKODA;Familiar;OCTAVIA
SKODA;Compacto;RAPID
SKODA;Compacto;SPACEBACK
SKODA;Familiar;SUPERB
SKODA;TTE Pequeño;YETI
SMART;Superutilitario;FORFOUR
SMART;Superutilitario;FORTWO
SSANGYONG;TTE Compacto;KORANDO
SSANGYONG;TTE Familiar;REXTON
SSANGYONG;Monovolumen familiar;RODIUS
SSANGYONG;TTE Pequeño;TIVOLI
SSANGYONG;TTE Compacto;XLV
SUBARU;Deportivo bajo;BR-Z
SUBARU;TTE Familiar;FORESTER
SUBARU;Familiar;LEVORG
SUBARU;Familiar;OUTBACK
SUBARU;Compacto;WRX
SUBARU;TTE Compacto;XV
SUZUKI;Utilitario/Polivalente;BALENO
SUZUKI;Superutilitario;CELERIO
SUZUKI;TTE Compacto;GRAN VITARA
SUZUKI;TTE Pequeño;GRAN VITARA
SUZUKI;TTE Pequeño;JIMNY
SUZUKI;Monovolumen polivalente;SPLASH
SUZUKI;Utilitario/Polivalente;SWIFT
SUZUKI;TTE Pequeño;SX4
SUZUKI;TTE Compacto;SX4 S-CROSS
SUZUKI;TTE Pequeño;VITARA
TESLA;Berlina;MODEL S
TESLA;TTE Superior;MODEL X
TOYOTA;Compacto;AURIS
TOYOTA;Familiar;AVENSIS
TOYOTA;Superutilitario;AYGO
TOYOTA;TTE Compacto;C-HR
TOYOTA;Deportivo bajo;GT 86
TOYOTA;TTE Familiar;HIGHLANDER
TOYOTA;Superutilitario;IQ
TOYOTA;TTE Superior;LANDCRUISER
TOYOTA;Compacto;PRIUS
TOYOTA;Monovolumen compacto;PRIUS +
TOYOTA;Compacto;PRIUS PLUG-IN
TOYOTA;TTE Compacto;RAV-4
TOYOTA;Monovolumen compacto;VERSO
TOYOTA;Monovolumen polivalente;YARIS
TOYOTA;Utilitario/Polivalente;YARIS
VOLKSWAGEN;Compacto;BEETLE
VOLKSWAGEN;Familiar;CC
VOLKSWAGEN;Deportivo bajo;EOS
VOLKSWAGEN;Compacto;GOLF
VOLKSWAGEN;Monovolumen compacto;GOLF
VOLKSWAGEN;Compacto;JETTA
VOLKSWAGEN;Familiar;PASSAT
VOLKSWAGEN;Utilitario/Polivalente;POLO
VOLKSWAGEN;Deportivo bajo;SCIROCCO
VOLKSWAGEN;Monovolumen familiar;SHARAN
VOLKSWAGEN;TTE Compacto;TIGUAN
VOLKSWAGEN;TTE Superior;TOUAREG
VOLKSWAGEN;Monovolumen compacto;TOURAN
VOLKSWAGEN;Superutilitario;UP!
VOLVO;Deportivo bajo;C70
VOLVO;Familiar;S60
VOLVO;Familiar;S60 CROSS COUNTRY
VOLVO;Berlina;S80
VOLVO;Berlina;S90
VOLVO;Compacto;V40
VOLVO;Compacto;V40 CROSS COUNTRY
VOLVO;Familiar;V60
VOLVO;Familiar;V60 CROSS COUNTRY
VOLVO;Berlina;V70
VOLVO;Berlina;V90
VOLVO;TTE Familiar;XC 60
VOLVO;TTE Superior;XC 90
VOLVO;Berlina;XC70
