,modelo,version,precio,segmento
870,SERIE 4,420iA Coupé,33292.0,Familiar
871,SERIE 4,420iA Gran Coupé,33664.0,Deportivo bajo
872,SERIE 4,420iA Gran Coupé,33664.0,Familiar
873,SERIE 4,420d Coupé,33905.0,Deportivo bajo
874,SERIE 4,420d Coupé,33905.0,Familiar
875,SERIE 4,418dA Gran Coupé,34305.0,Deportivo bajo
876,SERIE 4,418dA Gran Coupé,34305.0,Familiar
877,SERIE 4,420d Gran Coupé,34306.0,Deportivo bajo
878,SERIE 4,420d Gran Coupé,34306.0,Familiar
879,SERIE 4,420dA Coupé,36011.0,Deportivo bajo
880,SERIE 4,420dA Coupé,36011.0,Familiar
881,SERIE 4,420d Coupé xDrive,36055.0,Deportivo bajo
882,SERIE 4,420d Coupé xDrive,36055.0,Familiar
883,SERIE 4,420d Gran Coupé xDrive,36309.0,Deportivo bajo
884,SERIE 4,420d Gran Coupé xDrive,36309.0,Familiar
885,SERIE 4,420dA Gran Coupé,36461.0,Deportivo bajo
886,SERIE 4,420dA Gran Coupé,36461.0,Familiar
887,SERIE 4,420i Cabrio,37081.0,Deportivo bajo
888,SERIE 4,420i Cabrio,37081.0,Familiar
889,SERIE 4,420dA Gran Coupé xDrive,37092.0,Deportivo bajo
890,SERIE 4,420dA Gran Coupé xDrive,37092.0,Familiar
891,SERIE 4,430iA Coupé,37941.0,Deportivo bajo
892,SERIE 4,430iA Coupé,37941.0,Familiar
893,SERIE 4,420dA Coupé xDrive,38161.0,Deportivo bajo
894,SERIE 4,420dA Coupé xDrive,38161.0,Familiar
895,SERIE 4,420d Coupé xDrive (4.75),38336.0,Deportivo bajo
896,SERIE 4,420d Coupé xDrive (4.75),38336.0,Familiar
897,SERIE 4,430iA Gran Coupé,38421.0,Deportivo bajo
898,SERIE 4,430iA Gran Coupé,38421.0,Familiar
899,SERIE 4,420iA Cabrio,39269.0,Deportivo bajo
900,SERIE 4,420iA Cabrio,39269.0,Familiar
901,SERIE 4,420dA Gran Coupé xDrive (4.75),39433.0,Deportivo bajo
902,SERIE 4,420dA Gran Coupé xDrive (4.75),39433.0,Familiar
903,SERIE 4,430iA Coupé xDrive,40091.0,Deportivo bajo
904,SERIE 4,430iA Coupé xDrive,40091.0,Familiar
905,SERIE 4,420dA Coupé xDrive (4.75),40524.0,Deportivo bajo
906,SERIE 4,420dA Coupé xDrive (4.75),40524.0,Familiar
907,SERIE 4,420d Cabrio,40607.0,Deportivo bajo
908,SERIE 4,420d Cabrio,40607.0,Familiar
909,SERIE 4,430iA Gran Coupé xDrive,40621.0,Deportivo bajo
910,SERIE 4,430iA Gran Coupé xDrive,40621.0,Familiar
911,SERIE 4,420dA Cabrio,41179.0,Deportivo bajo
912,SERIE 4,420dA Cabrio,41179.0,Familiar
913,SERIE 4,430dA Coupé,42198.0,Deportivo bajo
914,SERIE 4,430dA Coupé,42198.0,Familiar
915,SERIE 4,430dA Gran Coupé,42777.0,Deportivo bajo
916,SERIE 4,430dA Gran Coupé,42777.0,Familiar
917,SERIE 4,420dA Cabrio (4.75),43660.0,Deportivo bajo
918,SERIE 4,420dA Cabrio (4.75),43660.0,Familiar
919,SERIE 4,430dA Coupé xDrive,44348.0,Deportivo bajo
920,SERIE 4,430dA Coupé xDrive,44348.0,Familiar
921,SERIE 4,430iA Cabrio,44477.0,Deportivo bajo
922,SERIE 4,430iA Cabrio,44477.0,Familiar
923,SERIE 4,430dA Gran Coupé xDrive,44977.0,Deportivo bajo
924,SERIE 4,430dA Gran Coupé xDrive,44977.0,Familiar
925,SERIE 4,440iA Coupé,46197.0,Deportivo bajo
926,SERIE 4,440iA Coupé,46197.0,Familiar
927,SERIE 4,430iA Cabrio xDrive,46627.0,Deportivo bajo
928,SERIE 4,430iA Cabrio xDrive,46627.0,Familiar
929,SERIE 4,440iA Gran Coupé,46869.0,Deportivo bajo
930,SERIE 4,440iA Gran Coupé,46869.0,Familiar
931,SERIE 4,440iA Coupé xDrive,48159.0,Deportivo bajo
932,SERIE 4,440iA Coupé xDrive,48159.0,Familiar
933,SERIE 4,435dA Coupé xDrive,48562.0,Deportivo bajo
934,SERIE 4,435dA Coupé xDrive,48562.0,Familiar
935,SERIE 4,440iA Gran Coupé xDrive,48861.0,Deportivo bajo
936,SERIE 4,440iA Gran Coupé xDrive,48861.0,Familiar
937,SERIE 4,430dA Cabrio,48992.0,Deportivo bajo
938,SERIE 4,430dA Cabrio,48992.0,Familiar
939,SERIE 4,435dA Gran Coupé xDrive,49289.0,Deportivo bajo
940,SERIE 4,435dA Gran Coupé xDrive,49289.0,Familiar
941,SERIE 4,440iA Cabrio,52948.0,Deportivo bajo
942,SERIE 4,440iA Cabrio,52948.0,Familiar
943,SERIE 5,520d,39641.0,Berlina
944,SERIE 5,520iA,41790.0,Berlina
945,SERIE 5,520dA,41896.0,Berlina
946,SERIE 5,520dA Efficient Dynamics,41973.0,Berlina
947,SERIE 5,520d Touring,42325.0,Berlina
948,SERIE 5,520dA Business,42984.0,Berlina
949,SERIE 5,520dA xDrive,44041.0,Berlina
950,SERIE 5,520iA Touring,44122.0,Berlina
951,SERIE 5,520dA Touring,44580.0,Berlina
952,SERIE 5,520d Touring (4.75),45289.0,Berlina
953,SERIE 5,530iA,45706.0,Berlina
954,SERIE 5,520dA Touring xDrive,46718.0,Berlina
955,SERIE 5,520dA xDrive (4.75),47405.0,Berlina
956,SERIE 5,525dA,47429.0,Berlina
957,SERIE 5,530iA xDrive,47510.0,Berlina
958,SERIE 5,530iA Touring,49226.0,Berlina
959,SERIE 5,525dA Touring,49490.0,Berlina
960,SERIE 5,530e iPerformance,49585.0,Berlina
961,SERIE 5,530dA,50861.0,Berlina
962,SERIE 5,525dA (4.75),50926.0,Berlina
963,SERIE 5,530i Touring xDrive,51030.0,Berlina
964,SERIE 5,530dA xDrive,51910.0,Berlina
965,SERIE 5,530dA Touring,53186.0,Berlina
966,SERIE 5,530dA (4.75),54493.0,Berlina
967,SERIE 5,530dA Touring xDrive,54770.0,Berlina
968,SERIE 5,540iA,55694.0,Berlina
969,SERIE 5,540dA xDrive,57366.0,Berlina
970,SERIE 5,540iA xDrive,58378.0,Berlina
971,SERIE 5,540d Touring xDrive,59786.0,Berlina
972,SERIE 5,540iA Touring xDrive,61925.0,Berlina
973,SERIE 5,540iA xDrive (9.75),62399.0,Berlina
974,SERIE 5,M550dA xDrive,82050.0,Berlina
975,SERIE 5,M550iA xDrive,84964.0,Berlina
976,SERIE 6,630iA Gran Turismo,68447.0,Berlina
977,SERIE 6,630iA Gran Turismo,68447.0,Deportivo alto
978,SERIE 6,630d Gran Turismo,73747.0,Berlina
979,SERIE 6,630d Gran Turismo,73747.0,Deportivo alto
980,SERIE 6,630d Gran Turismo xDrive,76447.0,Berlina
981,SERIE 6,630d Gran Turismo xDrive,76447.0,Deportivo alto
982,SERIE 6,640iA Gran Turismo (4.75),76777.0,Berlina
983,SERIE 6,640iA Gran Turismo (4.75),76777.0,Deportivo alto
984,SERIE 6,640iA Gran Turismo,79829.0,Berlina
985,SERIE 6,640iA Gran Turismo,79829.0,Deportivo alto
986,SERIE 6,640iA Gran Turismo xDrive,82529.0,Berlina
987,SERIE 6,640iA Gran Turismo xDrive,82529.0,Deportivo alto
988,SERIE 6,640iA Coupé,88163.0,Berlina
989,SERIE 6,640iA Coupé,88163.0,Deportivo alto
990,SERIE 6,640dA Coupé,89688.0,Berlina
991,SERIE 6,640dA Coupé,89688.0,Deportivo alto
992,SERIE 6,640iA Gran Coupé,89967.0,Berlina
993,SERIE 6,640iA Gran Coupé,89967.0,Deportivo alto
994,SERIE 6,640iA Coupé xDrive,91419.0,Berlina
995,SERIE 6,640iA Coupé xDrive,91419.0,Deportivo alto
996,SERIE 6,640dA Gran Coupé,91668.0,Berlina
997,SERIE 6,640dA Gran Coupé,91668.0,Deportivo alto
998,SERIE 6,640dA Coupé xDrive,92900.0,Berlina
999,SERIE 6,640dA Coupé xDrive,92900.0,Deportivo alto
1000,SERIE 6,640iA Gran Coupé xDrive,93355.0,Berlina
1001,SERIE 6,640iA Gran Coupé xDrive,93355.0,Deportivo alto
1002,SERIE 6,640dA Gran Coupé xDrive,94880.0,Berlina
1003,SERIE 6,640dA Gran Coupé xDrive,94880.0,Deportivo alto
1004,SERIE 6,640iA Cabrio,96523.0,Berlina
1005,SERIE 6,640iA Cabrio,96523.0,Deportivo alto
1006,SERIE 6,640dA Cabrio,98356.0,Berlina
1007,SERIE 6,640dA Cabrio,98356.0,Deportivo alto
1008,SERIE 6,650iA Coupé (9.75),99170.0,Berlina
1009,SERIE 6,650iA Coupé (9.75),99170.0,Deportivo alto
1010,SERIE 6,640iA Cabrio xDrive,99735.0,Berlina
1011,SERIE 6,640iA Cabrio xDrive,99735.0,Deportivo alto
1012,SERIE 6,650iA Gran Coupé (9.75),101077.0,Berlina
1013,SERIE 6,650iA Gran Coupé (9.75),101077.0,Deportivo alto
1014,SERIE 6,640dA Cabrio xDrive,101612.0,Berlina
1015,SERIE 6,640dA Cabrio xDrive,101612.0,Deportivo alto
1016,SERIE 6,650iA Coupé,102962.0,Berlina
1017,SERIE 6,650iA Coupé,102962.0,Deportivo alto
1018,SERIE 6,650iA Gran Coupé,104942.0,Berlina
1019,SERIE 6,650iA Gran Coupé,104942.0,Deportivo alto
1020,SERIE 6,650iA Coupé xDrive,106042.0,Berlina
1021,SERIE 6,650iA Coupé xDrive,106042.0,Deportivo alto
1022,SERIE 6,650iA Gran Coupé xDrive,108198.0,Berlina
1023,SERIE 6,650iA Gran Coupé xDrive,108198.0,Deportivo alto
1024,SERIE 6,650iA Cabrio,112378.0,Berlina
1025,SERIE 6,650iA Cabrio,112378.0,Deportivo alto
1026,SERIE 6,650iA Cabrio xDrive,115634.0,Berlina
1027,SERIE 6,650iA Cabrio xDrive,115634.0,Deportivo alto
1028,SERIE 6,M6A Coupé,133938.0,Berlina
1029,SERIE 6,M6A Coupé,133938.0,Deportivo alto
1030,SERIE 6,M6A Gran Coupé,137502.0,Berlina
1031,SERIE 6,M6A Gran Coupé,137502.0,Deportivo alto
1032,SERIE 6,M6A Cabrio,142870.0,Berlina
1033,SERIE 6,M6A Cabrio,142870.0,Deportivo alto
1034,SERIE 7,730dA (0.0),80149.0,Gran lujo
1035,SERIE 7,730dA,83295.0,Gran lujo
1036,SERIE 7,730LdA,86903.0,Gran lujo
1037,SERIE 7,730dA xDrive,87255.0,Gran lujo
1038,SERIE 7,740e iPerformance,90340.0,Gran lujo
1039,SERIE 7,730LdA xDrive,90863.0,Gran lujo
1040,SERIE 7,740dA xDrive,92447.0,Gran lujo
1041,SERIE 7,740LdA xDrive,96055.0,Gran lujo
1042,SERIE 7,740Le xDrive iPerformance,97864.0,Gran lujo
1043,SERIE 7,750iA,108189.0,Gran lujo
1044,SERIE 7,750LiA,111753.0,Gran lujo
1045,SERIE 7,750dA xDrive,113391.0,Gran lujo
1046,SERIE 7,750LdA xDrive,117175.0,Gran lujo
1047,SERIE 7,750iA xDrive,118397.0,Gran lujo
1048,SERIE 7,750LiA xDrive,122005.0,Gran lujo
1049,SERIE 7,M760LiA xDrive,170572.0,Gran lujo
1050,X1,sDrive 16d,24666.0,TTE Compacto
1051,X1,sDrive 18d,26167.0,TTE Compacto
1052,X1,sDrive 18i,26617.0,TTE Compacto
1053,X1,sDrive 16d Business,27186.0,TTE Compacto
1054,X1,sDrive 18dA,28240.0,TTE Compacto
1055,X1,sDrive 18iA,28596.0,TTE Compacto
1056,X1,xDrive 18d,29288.0,TTE Compacto
1057,X1,sDrive 18dA Business,30290.0,TTE Compacto
1058,X1,sDrive 20iA,30841.0,TTE Compacto
1059,X1,sDrive 20dA,31263.0,TTE Compacto
1060,X1,xDrive 18dA,31442.0,TTE Compacto
1061,X1,xDrive 20dA,32974.0,TTE Compacto
1062,X1,sDrive 20dA (4.75),33998.0,TTE Compacto
1063,X1,xDrive 25dA,37159.0,TTE Compacto
1064,X1,xDrive 25iA,38160.0,TTE Compacto
1065,X3,xDrive 20dA,40190.0,TTE Familiar
1066,X3,xDrive 30dA,46624.0,TTE Familiar
1067,X3,M40iA,56404.0,TTE Familiar
1068,X4,xDrive 20d,40118.0,TTE Familiar
1069,X4,xDrive 20iA,40283.0,TTE Familiar
1070,X4,xDrive 20dA,42486.0,TTE Familiar
1071,X4,xDrive 28iA,47112.0,TTE Familiar
1072,X4,xDrive 30dA,51211.0,TTE Familiar
1073,X4,xDrive 35iA,54725.0,TTE Familiar
1074,X4,xDrive 35dA,55039.0,TTE Familiar
1075,X4,M40iA,61511.0,TTE Familiar
1076,X5,sDrive 25dA,50295.0,TTE Superior
1077,X5,xDrive 25dA,53243.0,TTE Superior
1078,X5,xDrive 30dA,58479.0,TTE Superior
1079,X5,xDrive 35iA,59604.0,TTE Superior
1080,X5,xDrive 40dA,63055.0,TTE Superior
1081,X5,xDrive 40e,63188.0,TTE Superior
1082,X5,xDrive 50iA,85879.0,TTE Superior
1083,X5,M50dA,90503.0,TTE Superior
1084,X5,M A,122644.0,TTE Superior
1085,X6,xDrive 35iA,64631.0,TTE Superior
1086,X6,xDrive 30dA,67540.0,TTE Superior
1087,X6,xDrive 35iA (14.75),69127.0,TTE Superior
1088,X6,xDrive 40dA,70858.0,TTE Superior
1089,X6,xDrive 50iA,86711.0,TTE Superior
1090,X6,xDrive M50dA,96429.0,TTE Superior
1091,X6,MA,122571.0,TTE Superior
1092,C-ELYSéE,1.2 PureTech Feel 82,8463.0,Berlina
1093,C-ELYSéE,1.2 PureTech Shine 82,9931.0,Berlina
1094,C-ELYSéE,1.6 VTi Feel 115,10052.0,Berlina
1095,C-ELYSéE,1.6 VTi Shine 115,10952.0,Berlina
1096,C-ELYSéE,1.6BlueHDi Feel 100,11077.0,Berlina
1097,C-ELYSéE,1.6 VTi Feel EAT6 115,11352.0,Berlina
1098,C-ELYSéE,1.6BlueHDi Shine 100,11953.0,Berlina
1099,C-ELYSéE,1.6 VTi Shine EAT6 115,12252.0,Berlina
1100,C-ELYSéE,1.6 VTi GLP Ferrosite Feel 115,12502.0,Berlina
1101,C-ELYSéE,1.6 VTi GLP Ferrosite Shine 115,13402.0,Berlina
1102,C-ZERO,Airdream Seduction,20888.0,Superutilitario
1103,C1,1.2 PureTech Feel,7917.0,Superutilitario
1104,C1,1.2 PureTech Feel,8217.0,Superutilitario
1105,C1,1.2 PureTech Furio,8867.0,Superutilitario
1106,C1,1.2 PureTech City Edition,9179.0,Superutilitario
1107,C1,1.0 VTi City Edition ETG,9700.0,Superutilitario
1108,C1,Airscape 1.2 PureTech Shine,10207.0,Superutilitario
1109,C1,Airscape 1.2 PureTech Shine,10507.0,Superutilitario
1110,C3,1.2 PureTech Live 68,8298.0,Monovolumen polivalente
1111,C3,1.2 PureTech Live 68,8298.0,Utilitario/Polivalente
1112,C3,1.2 PureTech Feel 68,9093.0,Monovolumen polivalente
1113,C3,1.2 PureTech Feel 68,9093.0,Utilitario/Polivalente
1114,C3,1.2 PureTech Feel 82,9985.0,Monovolumen polivalente
1115,C3,1.2 PureTech Feel 82,9985.0,Utilitario/Polivalente
1116,C3,1.6BlueHDi S&S; Live 75,10739.0,Monovolumen polivalente
1117,C3,1.6BlueHDi S&S; Live 75,10739.0,Utilitario/Polivalente
1118,C3,1.6BlueHDi S&S; Feel 75,11442.0,Monovolumen polivalente
1119,C3,1.6BlueHDi S&S; Feel 75,11442.0,Utilitario/Polivalente
1120,C3,1.2 PureTech S&S; Feel EAT6 110,11522.0,Monovolumen polivalente
1121,C3,1.2 PureTech S&S; Feel EAT6 110,11522.0,Utilitario/Polivalente
1122,C3,1.2 PureTech GLP Feel 82,11724.0,Monovolumen polivalente
1123,C3,1.2 PureTech GLP Feel 82,11724.0,Utilitario/Polivalente
1124,C3,1.6BlueHDi S&S; Business 75,11829.0,Monovolumen polivalente
1125,C3,1.6BlueHDi S&S; Business 75,11829.0,Utilitario/Polivalente
1126,C3,1.2 PureTech Business 82,12257.0,Monovolumen polivalente
1127,C3,1.2 PureTech Business 82,12257.0,Utilitario/Polivalente
1128,C3,1.6BlueHDi S&S; Feel 100,12279.0,Monovolumen polivalente
1129,C3,1.6BlueHDi S&S; Feel 100,12279.0,Utilitario/Polivalente
1130,C3,1.2 PureTech Shine 82,12420.0,Monovolumen polivalente
1131,C3,1.2 PureTech Shine 82,12420.0,Utilitario/Polivalente
1132,C3,1.2 PureTech S&S; Shine 110,13709.0,Monovolumen polivalente
1133,C3,1.2 PureTech S&S; Shine 110,13709.0,Utilitario/Polivalente
1134,C3,1.6BlueHDi S&S; Shine 75,13893.0,Monovolumen polivalente
1135,C3,1.6BlueHDi S&S; Shine 75,13893.0,Utilitario/Polivalente
1136,C3,1.6BlueHDi S&S; Shine 100,14829.0,Monovolumen polivalente
1137,C3,1.6BlueHDi S&S; Shine 100,14829.0,Utilitario/Polivalente
1138,C3,1.2 PureTech S&S; Shine EAT6 110,14905.0,Monovolumen polivalente
1139,C3,1.2 PureTech S&S; Shine EAT6 110,14905.0,Utilitario/Polivalente
1140,C3,Picasso 1.2 PureTech Live Edition 110,16721.0,Monovolumen polivalente
1141,C3,Picasso 1.2 PureTech Live Edition 110,16721.0,Utilitario/Polivalente
1142,C3,Picasso 1.2 PureTech Feel Edition 110,18241.0,Monovolumen polivalente
1143,C3,Picasso 1.2 PureTech Feel Edition 110,18241.0,Utilitario/Polivalente
1144,C3,Picasso 1.6BlueHDi Live Edition 100,18361.0,Monovolumen polivalente
1145,C3,Picasso 1.6BlueHDi Live Edition 100,18361.0,Utilitario/Polivalente
1146,C3,Picasso 1.6BlueHDi Feel Edition 100,19881.0,Monovolumen polivalente
1147,C3,Picasso 1.6BlueHDi Feel Edition 100,19881.0,Utilitario/Polivalente
1148,C3,Picasso 1.6BlueHDi Exclusive 100,21261.0,Monovolumen polivalente
1149,C3,Picasso 1.6BlueHDi Exclusive 100,21261.0,Utilitario/Polivalente
1150,C3 AIRCROSS,Puretech Live 82,11033.0,Monovolumen polivalente
1151,C3 AIRCROSS,Puretech Feel 82,12533.0,Monovolumen polivalente
1152,C3 AIRCROSS,BlueHDi Live 100,13383.0,Monovolumen polivalente
1153,C3 AIRCROSS,Puretech S&S; Feel 110,13933.0,Monovolumen polivalente
1154,C3 AIRCROSS,Puretech S&S; Feel 130,14006.0,Monovolumen polivalente
1155,C3 AIRCROSS,BlueHDi Feel 100,14883.0,Monovolumen polivalente
1156,C3 AIRCROSS,Puretech S&S; S.E. Lanzamiento 110,15812.0,Monovolumen polivalente
1157,C3 AIRCROSS,BlueHDi Feel 120,15933.0,Monovolumen polivalente
1158,C3 AIRCROSS,Puretech S&S; Shine 110,16433.0,Monovolumen polivalente
1159,C3 AIRCROSS,Puretech S&S; Shine 130,16506.0,Monovolumen polivalente
1160,C3 AIRCROSS,BlueHDi Shine 100,17383.0,Monovolumen polivalente
1161,C3 AIRCROSS,Puretech S&S; Shine EAT6 110,17714.0,Monovolumen polivalente
1162,C3 AIRCROSS,BlueHDi Shine 120,18433.0,Monovolumen polivalente
1163,C4,1.2 PureTech Live 110,12181.0,Compacto
1164,C4,1.2 PureTech Live 110,12181.0,Monovolumen compacto
1165,C4,1.6BlueHDI Live 100,12782.0,Compacto
1166,C4,1.6BlueHDI Live 100,12782.0,Monovolumen compacto
1167,C4,1.2 PureTech Live Edition 110,13382.0,Compacto
1168,C4,1.2 PureTech Live Edition 110,13382.0,Monovolumen compacto
1169,C4,1.6BlueHDI Live Edition 100,13886.0,Compacto
1170,C4,1.6BlueHDI Live Edition 100,13886.0,Monovolumen compacto
1171,C4,1.2 PureTech Live Edition 130,14382.0,Compacto
1172,C4,1.2 PureTech Live Edition 130,14382.0,Monovolumen compacto
1173,C4,Picasso 1.2 PureTech S&S; First 110,14532.0,Compacto
1174,C4,Picasso 1.2 PureTech S&S; First 110,14532.0,Monovolumen compacto
1175,C4,1.6BlueHDI S&S; Business 100,14569.0,Compacto
1176,C4,1.6BlueHDI S&S; Business 100,14569.0,Monovolumen compacto
1177,C4,1.2 PureTech Feel Edition 110,14752.0,Compacto
1178,C4,1.2 PureTech Feel Edition 110,14752.0,Monovolumen compacto
1179,C4,1.6BlueHDI S&S; Live Edition 120,15086.0,Compacto
1180,C4,1.6BlueHDI S&S; Live Edition 120,15086.0,Monovolumen compacto
1181,C4,1.6BlueHDI Feel Edition 100,15280.0,Compacto
1182,C4,1.6BlueHDI Feel Edition 100,15280.0,Monovolumen compacto
1183,C4,Picasso 1.2 PureTech S&S; Live 110,15361.0,Compacto
1184,C4,Picasso 1.2 PureTech S&S; Live 110,15361.0,Monovolumen compacto
1185,C4,1.2 PureTech S&S; Feel Edition 130,15631.0,Compacto
1186,C4,1.2 PureTech S&S; Feel Edition 130,15631.0,Monovolumen compacto
1187,C4,Picasso 1.2 PureTech S&S; Live 130,16000.0,Compacto
1188,C4,Picasso 1.2 PureTech S&S; Live 130,16000.0,Monovolumen compacto
1189,C4,Picasso 1.6BlueHDI S&S; Live 100,16319.0,Compacto
1190,C4,Picasso 1.6BlueHDI S&S; Live 100,16319.0,Monovolumen compacto
1191,C4,1.6BlueHDI S&S; Feel Edition 120,16395.0,Compacto
1192,C4,1.6BlueHDI S&S; Feel Edition 120,16395.0,Monovolumen compacto
1193,C4,1.2 PureTech S&S; Feel Edition EAT6 130,16931.0,Compacto
1194,C4,1.2 PureTech S&S; Feel Edition EAT6 130,16931.0,Monovolumen compacto
1195,C4,Grand Picasso 1.2 PureTech S&S; Live 130,16950.0,Compacto
1196,C4,Grand Picasso 1.2 PureTech S&S; Live 130,16950.0,Monovolumen compacto
1197,C4,Picasso 1.6BlueHDI S&S; Live 120,17250.0,Compacto
1198,C4,Picasso 1.6BlueHDI S&S; Live 120,17250.0,Monovolumen compacto
1199,C4,Grand Picasso 1.6BlueHDI S&S; Live 100,17250.0,Compacto
1200,C4,Grand Picasso 1.6BlueHDI S&S; Live 100,17250.0,Monovolumen compacto
1201,C4,Picasso 1.2 PureTech S&S; EAT6 Live 130,17390.0,Compacto
1202,C4,Picasso 1.2 PureTech S&S; EAT6 Live 130,17390.0,Monovolumen compacto
1203,C4,Picasso 1.2 PureTech S&S; Feel 130,17600.0,Compacto
1204,C4,Picasso 1.2 PureTech S&S; Feel 130,17600.0,Monovolumen compacto
1205,C4,1.6BlueHDI S&S; Feel Edition EAT6 120,17695.0,Compacto
1206,C4,1.6BlueHDI S&S; Feel Edition EAT6 120,17695.0,Monovolumen compacto
1207,C4,Picasso 1.6BlueHDI S&S; Feel 100,17901.0,Compacto
1208,C4,Picasso 1.6BlueHDI S&S; Feel 100,17901.0,Monovolumen compacto
1209,C4,Grand Picasso 1.2 PT. S&S; Live EAT6 130,18300.0,Compacto
1210,C4,Grand Picasso 1.2 PT. S&S; Live EAT6 130,18300.0,Monovolumen compacto
1211,C4,Picasso 1.6BlueHDI S&S; Live EAT6 120,18501.0,Compacto
1212,C4,Picasso 1.6BlueHDI S&S; Live EAT6 120,18501.0,Monovolumen compacto
1213,C4,Grand Picasso 1.2 PureTech S&S; Feel 130,18525.0,Compacto
1214,C4,Grand Picasso 1.2 PureTech S&S; Feel 130,18525.0,Monovolumen compacto
1215,C4,Grand Picasso 1.6BlueHDI S&S; Live 120,18534.0,Compacto
1216,C4,Grand Picasso 1.6BlueHDI S&S; Live 120,18534.0,Monovolumen compacto
1217,C4,Picasso 1.6BlueHDI S&S; Feel 120,18830.0,Compacto
1218,C4,Picasso 1.6BlueHDI S&S; Feel 120,18830.0,Monovolumen compacto
1219,C4,Grand Picasso 1.6BlueHDI S&S; Feel 100,18831.0,Compacto
1220,C4,Grand Picasso 1.6BlueHDI S&S; Feel 100,18831.0,Monovolumen compacto
1221,C4,Picasso 1.2 PureTech S&S; EAT6 Feel 130,18851.0,Compacto
1222,C4,Picasso 1.2 PureTech S&S; EAT6 Feel 130,18851.0,Monovolumen compacto
1223,C4,Picasso 1.2 PureTech S&S; Shine 130,19080.0,Compacto
1224,C4,Picasso 1.2 PureTech S&S; Shine 130,19080.0,Monovolumen compacto
1225,C4,Grand Picasso 1.2 PT. S&S; Feel EAT6 130,19786.0,Compacto
1226,C4,Grand Picasso 1.2 PT. S&S; Feel EAT6 130,19786.0,Monovolumen compacto
1227,C4,Grand Picasso 2.0BlueHDI S&S; Feel 150,19800.0,Compacto
1228,C4,Grand Picasso 2.0BlueHDI S&S; Feel 150,19800.0,Monovolumen compacto
1229,C4,Grand Picasso 1.6BlueHDI S&S; Live EAT6 120,19884.0,Compacto
1230,C4,Grand Picasso 1.6BlueHDI S&S; Live EAT6 120,19884.0,Monovolumen compacto
1231,C4,Grand Picasso 1.2 PureTech S&S; Shine 130,20001.0,Compacto
1232,C4,Grand Picasso 1.2 PureTech S&S; Shine 130,20001.0,Monovolumen compacto
1233,C4,Picasso 1.6BlueHDI S&S; Feel EAT6 120,20183.0,Compacto
1234,C4,Picasso 1.6BlueHDI S&S; Feel EAT6 120,20183.0,Monovolumen compacto
1235,C4,Picasso 2.0BlueHDI S&S; Feel 150,20224.0,Compacto
1236,C4,Picasso 2.0BlueHDI S&S; Feel 150,20224.0,Monovolumen compacto
1237,C4,Grand Picasso 1.6BlueHDI S&S; Feel 120,20234.0,Compacto
1238,C4,Grand Picasso 1.6BlueHDI S&S; Feel 120,20234.0,Monovolumen compacto
1239,C4,Picasso 1.6BlueHDI S&S; Shine 120,20301.0,Compacto
1240,C4,Picasso 1.6BlueHDI S&S; Shine 120,20301.0,Monovolumen compacto
1241,C4,Grand Picasso 2.0BlueHDI S&S; Feel EAT6 150,21150.0,Compacto
1242,C4,Grand Picasso 2.0BlueHDI S&S; Feel EAT6 150,21150.0,Monovolumen compacto
1243,C4 AIRCROSS,1.6HDI S&S; Live 2WD 115,16300.0,TTE Compacto
1244,C4 AIRCROSS,1.6HDI S&S; Live Ed. 2WD 115,17787.0,TTE Compacto
1245,C4 AIRCROSS,1.6HDI S&S; Feel 2WD 115,19140.0,TTE Compacto
1246,C4 AIRCROSS,1.6HDI S&S; Feel 4WD 115,20986.0,TTE Compacto
1247,C4 AIRCROSS,1.6HDI S&S; Feel Ed. 2WD 115,21040.0,TTE Compacto
1248,C4 AIRCROSS,1.6HDI S&S; Feel Ed. 4WD 115,22881.0,TTE Compacto
1249,C4 AIRCROSS,1.6HDI S&S; Shine 2WD 115,22965.0,TTE Compacto
1250,C4 AIRCROSS,1.6HDI S&S; Shine 4WD 115,24881.0,TTE Compacto
1251,C4 CACTUS,1.2 PureTech Feel 82,10636.0,Compacto
1252,C4 CACTUS,1.2 PureTech S&S; Feel 110,11891.0,Compacto
1253,C4 CACTUS,1.6 BlueHDi Feel 100,12637.0,Compacto
1254,C4 CACTUS,1.2 PureTech S&S; Shine 110,14241.0,Compacto
1255,C4 CACTUS,1.2 PureTech S&S; One Tone 110,14441.0,Compacto
1256,C4 CACTUS,1.6 BlueHDi Shine 100,14842.0,Compacto
1257,C4 CACTUS,1.2 PureTech S&S; Shine EAT6 110,15180.0,Compacto
1258,C4 CACTUS,1.2 PureTech S&S; Rip Curl 110,15241.0,Compacto
1260,DUSTER,1.6 Base 4x2 115,9458.0,TTE Compacto
1261,DUSTER,1.6 Ambiance 4x2 115,11476.0,TTE Compacto
1262,DUSTER,1.6 GLP Ambiance 4x2 115,12252.0,TTE Compacto
1263,DUSTER,1.5dCi Ambiance 4x2 90,13053.0,TTE Compacto
1264,DUSTER,1.2 TCE Laureate 4x2 125,13755.0,TTE Compacto
1265,DUSTER,1.2 TCE SL Trotamundos 4x2 125,14822.0,TTE Compacto
1266,DUSTER,1.5dCi Laureate 4x2 110,14847.0,TTE Compacto
1267,DUSTER,1.2 TCE Laureate 4x4 125,15695.0,TTE Compacto
