,precio,puertas,combustible,traccion,cv,cambio,n_marchas,co2,autonomia,consumo,garantia,capacidad deposito,0_a_100,maletero,tipo_marca,longitud,Segmento
38,0.0750284478035,0.4,0.25,1.0,0.230215827338,1.0,0.444444444444,0.350125944584,0.139990880073,0.352941176471,0.0,0.35,0.431952662722,0.0792181069959,0.0,0.4224,0.0
39,0.0752883413174,0.6,0.25,1.0,0.230215827338,0.0,0.444444444444,0.350125944584,0.139990880073,0.352941176471,0.0,0.35,0.431952662722,0.0792181069959,0.0,0.4224,0.0
40,0.0759942682944,0.6,0.25,1.0,0.251798561151,0.0,0.444444444444,0.350125944584,0.139990880073,0.352941176471,0.0,0.35,0.396449704142,0.0792181069959,0.0,0.42336,0.0
41,0.0806653273956,0.6,0.25,1.0,0.251798561151,0.0,0.444444444444,0.350125944584,0.139990880073,0.352941176471,0.0,0.35,0.396449704142,0.0792181069959,0.0,0.42336,0.0
42,0.080928732984,0.4,0.25,1.0,0.251798561151,1.0,0.444444444444,0.350125944584,0.139990880073,0.352941176471,0.0,0.35,0.396449704142,0.0792181069959,0.0,0.42336,0.0
43,0.0817891912395,0.4,0.25,1.0,0.230215827338,0.0,0.444444444444,0.350125944584,0.139990880073,0.352941176471,0.0,0.35,0.431952662722,0.0792181069959,0.0,0.4224,0.0
44,0.0824916061419,0.4,0.25,1.0,0.251798561151,0.0,0.444444444444,0.350125944584,0.139990880073,0.352941176471,0.0,0.35,0.396449704142,0.0792181069959,0.0,0.42336,0.0
45,0.0868816992821,0.6,0.25,1.0,0.251798561151,1.0,0.444444444444,0.350125944584,0.139990880073,0.352941176471,0.0,0.35,0.396449704142,0.0792181069959,0.0,0.42336,0.0
46,0.0876859643454,0.4,0.25,1.0,0.251798561151,0.0,0.444444444444,0.350125944584,0.139990880073,0.352941176471,0.0,0.35,0.396449704142,0.0792181069959,0.0,0.42336,0.0
47,0.0936424427181,0.6,0.25,1.0,0.251798561151,0.0,0.444444444444,0.350125944584,0.139990880073,0.352941176471,0.0,0.35,0.396449704142,0.0792181069959,0.0,0.42336,0.0
48,0.0939058483065,0.4,0.25,1.0,0.251798561151,1.0,0.444444444444,0.350125944584,0.139990880073,0.352941176471,0.0,0.35,0.396449704142,0.0792181069959,0.0,0.42336,0.0
49,0.100666591742,0.4,0.25,1.0,0.251798561151,0.0,0.444444444444,0.350125944584,0.139990880073,0.352941176471,0.0,0.35,0.396449704142,0.0792181069959,0.0,0.42336,0.0
50,0.0113720972704,0.6,0.25,1.0,0.0920863309353,1.0,0.444444444444,0.289672544081,0.164710682315,0.3,0.285714285714,0.35,0.763313609467,0.0792181069959,0.0,0.39488,0.0
52,0.0182908840594,0.6,0.25,1.0,0.0920863309353,1.0,0.444444444444,0.289672544081,0.164710682315,0.3,0.285714285714,0.35,0.763313609467,0.0792181069959,0.0,0.39488,0.0
54,0.0192707528483,0.6,0.25,1.0,0.0920863309353,1.0,0.444444444444,0.289672544081,0.164710682315,0.3,0.285714285714,0.35,0.763313609467,0.0792181069959,0.0,0.39488,0.0
56,0.0202225250411,0.4,0.25,1.0,0.0920863309353,1.0,0.444444444444,0.289672544081,0.164710682315,0.3,0.285714285714,0.35,0.792899408284,0.0792181069959,0.0,0.39488,0.0
58,0.0231902280039,0.6,0.5,1.0,0.0920863309353,1.0,0.444444444444,0.261964735516,0.127270981832,0.388235294118,0.285714285714,0.35,0.763313609467,0.0792181069959,0.0,0.39488,0.0
60,0.024823342652,0.6,0.25,1.0,0.143884892086,1.0,0.555555555556,0.249370277078,0.199990400077,0.247058823529,0.285714285714,0.35,0.591715976331,0.0792181069959,0.0,0.39488,0.0
62,0.0258032114409,0.6,0.25,1.0,0.115107913669,0.0,0.444444444444,0.226700251889,0.221062231502,0.223529411765,0.285714285714,0.35,0.650887573964,0.0792181069959,0.0,0.39488,0.0
64,0.0258032114409,0.6,0.25,1.0,0.143884892086,1.0,0.444444444444,0.249370277078,0.199990400077,0.247058823529,0.285714285714,0.35,0.591715976331,0.0792181069959,0.0,0.39488,0.0
